Gaeun,Kim,Speaker,@gaeunkim913,Canary Center at Stanford for Cancer Early Detection
Giuseppe,Maxia,Speaker,@datacharmer,"VMware, Inc"
Gopal,Shankar,Speaker,Oracle,Oracle
Guruswamy,Revana,Speaker,@guruswamyrevana,BVRIT Hyderabad College of Engineering for Women
Haggen,So,Speaker,,Hong Kong Creative Open Technology Association
Haoyi,Li,Speaker,@li_haoyi,Fluent Technologies 
Harin Nalin,Vadodaria,Speaker,@harinnv,Oracle
Harish,Pillay,Speaker,@harishpillay,Internet Society
Harshit,Dwivedi,Speaker,@daggerdwivedi,FOSSASIA
herr,flupke,Speaker,,
James,Lee,Speaker,,Microsoft
James Joshua,Lim,Speaker,@akiestar,Wikimedia Philippines
Jason,Zaman,Speaker,@perfinion,Gentoo Linux
Jayaditya Gupta,Gupta,Speaker,@jayssj1,KDE
Jens,Petersen,Speaker,@juhp,Red Hat
Jesper Wisborg,Krogh,Speaker,,Oracle
Jigyasa,Grover,Speaker,@jigyasa_grover,FOSSASIA. Women Who Code.
Jimish,Parekh,Speaker,@jimishio,Oizom Instruments Pvt. Ltd.
Julyanto,Sutandang,Speaker,,Equnix Business Solutions
June,Zhang,Speaker,,Red Hat
kathleen,azali,Speaker,@kathleenazali,C2O library & collabtive (Surabaya)
Keerthana,Krishnan,Speaker,@KeerthanaK17,Performix Technologies
Konrad Willi,D?ring,Speaker,,Neurosphere
Kushal,Das,Speaker,@kushaldas,Python Software Foundation
Lars,Schneider,Speaker,@kit3bus,Autodesk Inc.
Liling,Tan,Speaker,@alvations,Rakuten Asia
Lionel,Chok,Speaker,@lionelchok,iMMERSiVELY
Lorenz ,Gerber,Speaker,@GerberLorenz,Openchrom
Lyle,Kozloff,Speaker,@lkozloff,Asian Hope
Madhuri,Peri,Speaker,@madhuriperi,BVRIT Hyderabad
Manan,Wason,Speaker,@mananwason,IIIT Delhi
Martin,Andrews,Speaker,,Red Cat Labs
Masakazu,Takasu,Speaker,@tks,Nico-Tech
Masanori,Oyama,Speaker,@ooyamams1987,NTT OSS Center
Masayuki,Igawa,Speaker,@masayukig,Hewlett Packard Enterprise
Matt,Ranostay,Speaker,,Konsulko Group
Matthew,Treinish,Speaker,,IBM
Mayank,Prasad,Speaker,@manku,Oracle India Pvt. Limited
Melvin,Zhang,Speaker,@melvinzhangzy,Magarena
Michael,Meskes,Speaker,,credativ international GmbH
Michael,Cannon,Speaker,@comprock,Axelerant
Mohit,Kumar,Speaker,@mbj36,Mifos Initiative
Naman,Naman,Speaker,@naman1405,Delhi Technological University
Nikhil,Rayaprolu,Speaker,@nikhil_rayap,International Institute of IT Hyderabad
Niranjan,Rajendran,Speaker,@niranjan94,FOSSASIA
Noritada,Shimizu,Speaker,@chikoski,Mozilla Japan
?yvind,Roti,Speaker,,Google
Philip,Paeps,Speaker,,The FreeBSD Foundation
Pooja,Yadav,Speaker,@pooja_yadavv,RedHat
Poornima,Kannan ,Speaker,,Random Hacks of Kindness India 
Pranav,Jain,Speaker,,Debian
